"X","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","Heating","HeatingQC","CentralAir","Electrical","GrLivArea","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Functional","FireplaceQu","GarageType","GarageFinish","GarageArea","GarageQual","PavedDrive","PoolQC","Fence","MiscFeature","MiscVal","SaleType","SaleCondition","Central_AC_Heater","Log_GrLivArea","Log_LotArea","Qual_x_Area","Garage_x_Qual","House_Age","SalePrice","Remodel_Age","Garage_Age","ReviewSentiment","TotalArea","OutdoorArea","AboveBath","BsmtBath","HasFireplace","Fireplaces_cap2","GarageCars_cap4","Kitchen2plus","Qual_x_TotalArea","Cond_x_TotalArea","House_Age_x_TotalArea"
11,"70","RM",59.58059068,9507.531032,1,0,"Reg","Lvl","Corner","Gtl","OldTown","Norm","Norm","1Fam","2Story",8,9,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",0.462007014,"Gd","BrkTil","TA","No","Unf",2.874774305,"Unf",2.319331065,932.8976805,"GasW","TA",0,"SBrkr",1571.003342,3,"Gd",7,"Typ","Gd","Detchd","Unf",289.8334273,"TA","Y","Fa","MnPrv","Shed",2.760931818,"WD","Abnorml",1,7.360106099,9.159944678,12568.026736,8,110,429605,7,80,"-2",3312.880628569,527.637590569,2,0,0,0,1,0,26503.045028552,29815.925657121,15602.1113735883
12,"20","RL",90.20299475,10443.02265,1,0,"IR1","Lvl","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,6,"Hip","CompShg","Plywood","Plywood","Stone",144.2057697,"TA","CBlock","TA","No","Rec",541.6489135,"Unf",0,558.2623258,"GasA","Gd",1,"FuseA",1100.714058,3,"TA",5,"Typ","Gd","Detchd","Unf",311.4317353,"TA","Y","Fa","MnPrv","Shed",0,"WD","Normal",1,7.004622481,9.253785099,6604.284348,6,52,1492065,52,52,"2",2515.63018927,1.30494697,1,0,0,0,1,0,15093.78113562,15093.78113562,9987.78619794627
13,"20","RL",88.038008,11962.57875,1,0,"IR1","Lvl","Corner","Gtl","Timber","Norm","Norm","1Fam","1Story",7,5,"Gable","CompShg","VinylSd","VinylSd","Stone",60.72812555,"Gd","PConc","Gd","No","GLQ",74.21161413,"Unf",1.961023962,1258.679348,"GasA","Ex",1,"SBrkr",1353.369909,3,"Gd",6,"Typ","TA","Attchd","Fin",660.9831269,"TA","Y","Fa","MnPrv","Shed",1.10086951,"WD","Normal",1,7.211091613,9.389622209,9473.589363,21,2,1318815,2,2,"0",3503.466631092,149.666315192,2,1,1,1,3,0,24524.266417644,17517.33315546,3848.95149385634
14,"20","RL",92.78467214,12124.45522,1,0,"Reg","Lvl","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,"Hip","CompShg","VinylSd","VinylSd","BrkFace",252.3795283,"Ex","PConc","Ex","No","Unf",5.335506144,"Unf",0,1696.454329,"GasA","Ex",1,"SBrkr",1678.15694,3,"Gd",7,"Typ","Gd","Attchd","Fin",816.1417462,"TA","Y","Fa","MnPrv","Shed",0.285472324,"New","Partial",1,7.426047125,9.403062259,13425.25552,24,0,2391141,0,0,"0",4586.746678356,396.329575156,2,0,0,0,3,0,36693.973426848,22933.73339178,0
15,"120","RL",52.96243034,4052.148187,1,0,"Reg","Lvl","Inside","Gtl","Blmngtn","Norm","Norm","TwnhsE","1Story",8,5,"Hip","CompShg","VinylSd","VinylSd","BrkFace",0,"Gd","PConc","Gd","Av","GLQ",1167.843675,"Unf",0,365.7834135,"GasA","Ex",1,"SBrkr",1569.894973,1,"Ex",7,"Typ","Gd","Attchd","Fin",644.4783782,"TA","Y","Fa","MnPrv","Shed",1.497951984,"New","Partial",1,7.359400782,8.307249188,12559.159784,24,0,3709568,0,0,"2",4049.949348922,313.392792722,2,1,1,1,3,0,32399.594791376,20249.74674461,0
16,"121","RL",34.11972274,3972.393402,1,0,"Reg","Lvl","Inside","Gtl","NridgHt","Norm","Norm","Twnhs","1Story",6,5,"Gable","CompShg","VinylSd","VinylSd","Stone",181.1941556,"Gd","PConc","Gd","Av","ALQ",870.2275207,"Unf",1.379120494,437.7300488,"GasA","Ex",1,"SBrkr",1301.481641,1,"Gd",5,"Typ","Gd","Attchd","RFn",629.1241814,"TA","Y","Fa","MnPrv","Shed",0.207638374,"New","Partial",0,7.172026678,8.28737577,7808.889846,12,2,267085,1,2,"-2",3391.184784575,164.303411175,1.5,1,1,1,2,0,20347.10870745,16955.923922875,3725.59727747841
17,"19","RL",60.99540745,9762.32979,1,0,"IR1","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,"Gable","CompShg","HdBoard","MetalSd","BrkFace",2.635078893,"TA","CBlock","TA","No","BLQ",408.1320122,"LwQ",287.6964687,244.5219671,"GasA","TA",1,"SBrkr",943.3972152,3,"TA",5,"Typ","Gd","Detchd","Unf",281.9928466,"TA","Y","Fa","MnPrv","Shed",0,"WD","Normal",1,6.850546856,9.186388788,4716.986076,5,35,396707,36,26,"0",2174.501087001,1.051725301,1,0,0,0,1,0,10872.505435005,10872.505435005,7792.36582696148
18,"20","RL",73.01955216,8816.023025,1,0,"IR1","Lvl","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",7,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",0.938856403,"Gd","PConc","Gd","Av","GLQ",24.56888564,"Unf",0.077198747,1316.671354,"GasA","Ex",1,"SBrkr",1332.384709,3,"Gd",6,"Typ","Gd","Attchd","Fin",396.3711342,"TA","Y","Fa","MnPrv","Shed",2.898538166,"New","Partial",1,7.195475882,9.084439567,9326.692963,14,0,787726,0,0,"0",3193.325651975,128.089853775,2,0,0,0,2,0,22353.279563825,15966.628259875,0
19,"30","RM",51.0250679,6114.572,1,0,"Reg","Lvl","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1Story",5,7,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",0.92828632,"TA","BrkTil","TA","No","BLQ",209.2116172,"Unf",0,504.0640712,"GasA","TA",1,"FuseA",875.6586861,2,"TA",5,"Typ","Gd","Detchd","Unf",178.7464337,"Fa","Y","Fa","MnPrv","Shed",0,"WD","Normal",1,6.776117733,8.718593584,4378.2934305,5,78,534920,16,78,"2",1829.337558913,49.788740013,1,1,0,0,1,0,9146.687794565,12805.362912391,7993.19506822967
20,"20","RL",67.86772388,9048.74151,1,0,"Reg","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,"Gable","CompShg","VinylSd","VinylSd","Stone",176.3473797,"Gd","PConc","Gd","No","GLQ",1325.090909,"Unf",0.453704936,268.880064,"GasA","Ex",1,"SBrkr",1600.78085,3,"Gd",8,"Typ","Gd","Attchd","RFn",662.181037,"TA","Y","Fa","MnPrv","Shed",0,"WD","Abnorml",0,7.378871321,9.110491474,11205.46595,14,3,1000043,3,0,"-2",4107.996663415,234.312517415,2.5,1,1,1,2,0,28755.976643905,20539.983317075,5694.89260999154
21,"30","RL",67.0213944,8770.351221,1,0,"Reg","Lvl","Inside","Mod","Edwards","Feedr","Norm","1Fam","1Story",3,6,"Gable","CompShg","VinylSd","VinylSd","BrkFace",0,"TA","CBlock","TA","No","GLQ",0,"Unf",0,0,"GasA","TA",0,"SBrkr",634.2810412,2,"TA",5,"Min1","Gd","Detchd","Unf",239.1772229,"TA","N","Fa","MnPrv","Shed",3.429232611,"ConLD","Normal",0,6.454067486,9.079246147,1902.8431236,3,65,13943,3,65,"-2",875.552477575,2.094213475,1,0,0,0,1,0,2626.657432725,5253.31486545,3668.26258956508
22,"90","RL",93.72965759,9426.143899,1,0,"Reg","Low","Corner","Gtl","Mitchel","Norm","Norm","Duplex","2Story",6,5,"Mansard","CompShg","MetalSd","Wd Shng","BrkFace",1.069738308,"TA","CBlock","TA","Av","Unf",0,"Unf",0.83909836,912.4105576,"GasA","TA",1,"SBrkr",1823.136735,4,"TA",8,"Typ","Gd","Attchd","Unf",3.030897642,"TA","Y","Fa","MnPrv","Shed",0,"WD","Normal",1,7.508862132,9.151348456,10938.82041,0,39,481159,39,31,"-1",2862.259026742,127.434961,3,0,0,0,0,1,17173.554160452,14311.29513371,10558.5285161007
23,"50","RL",56.69723558,7980.512442,1,0,"Reg","Lvl","Inside","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin",5,8,"Gable","CompShg","MetalSd","MetalSd","BrkFace",1.651475366,"TA","Slab","TA","No","GLQ",0,"Unf",1.434500807,3.876637733,"GasA","Gd",1,"SBrkr",1142.187007,4,"TA",8,"Min1","Gd","Attchd","Unf",0,"TA","Y","Fa","MnPrv","Shed",0,"WD","Normal",0,7.041575261,8.984883202,5710.935035,0,61,21405,15,0,"-2",1143.19918054,1.01217354,1.5,0,0,0,0,0,5715.9959027,9145.59344432,4718.13664696201
24,"79","RL",73.18893743,9865.028725,1,0,"Reg","Lvl","Inside","Gtl","Timber","Norm","Norm","1Fam","SLvl",5,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",0,"TA","PConc","Gd","No","Unf",6.419905473,"Unf",0,355.4417516,"GasA","Gd",1,"SBrkr",1447.017851,3,"TA",6,"Typ","Gd","BuiltIn","Fin",398.3417407,"TA","Y","Fa","MnPrv","Shed",0,"WD","Normal",1,7.277950901,9.196852693,7235.089255,10,2,219386,1,1,"-1",2298.70094353,103.78404603,2.5,0,0,0,2,0,11493.50471765,11493.50471765,2525.38110453504
25,"75","RM",86.83728618,18257.77061,1,0,"Reg","Lvl","Inside","Gtl","OldTown","Norm","Norm","1Fam","2.5Fin",7,9,"Gable","CompShg","CemntBd","CmentBd","BrkFace",0.870902141,"TA","BrkTil","TA","No","Unf",0,"Unf",0,1469.705876,"GasA","Ex",1,"SBrkr",3498.065163,3,"Gd",10,"Typ","Ex","Attchd","Unf",867.0419517,"TA","Y","Fa","MnPrv","Shed",9.546794627,"WD","Normal",1,8.160251116,9.812400825,24486.456141,21,128,3242172,6,5,"3",6137.141702772,302.600330072,3,0,1,1,3,0,42959.991919404,55234.275324948,29825.3573744567
26,"20","RL",69.9781131,7586.174628,1,0,"Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,"Gable","CompShg","BrkFace","Wd Sdng","BrkFace",4.201264988,"TA","CBlock","TA","No","LwQ",365.8777524,"Unf",1.214676971,672.9845826,"GasA","TA",1,"FuseA",1038.845633,3,"TA",6,"Typ","Gd","Attchd","RFn",283.8412662,"TA","Y","Fa","GdWo","Shed",0,"WD","Normal",1,6.946827551,8.934214552,5194.228165,5,47,347336,47,48,"-2",2755.0474356,392.1672754,1,0,0,0,1,0,13775.237178,13775.237178,10665.3424177939
27,"160","FV",69.1792208,2247.205281,1,0,"Reg","Lvl","Inside","Gtl","Somerst","Norm","Norm","Twnhs","2Story",6,5,"Gable","CompShg","MetalSd","MetalSd","BrkFace",456.4705356,"Gd","PConc","Gd","No","GLQ",427.9233657,"Unf",0,313.5411881,"GasA","Ex",1,"SBrkr",1527.110091,3,"Gd",5,"Typ","TA","Detchd","Unf",438.7751061,"TA","Y","Fa","MnPrv","Shed",6.404563696,"WD","Normal",1,7.331787016,7.717887524,9162.660546,12,7,135761,7,7,"-2",2722.315101174,2.090314874,2.5,0,1,1,2,0,16333.890607044,13611.57550587,5660.89511092356
28,"20","RL",69.86850808,8451.815482,1,0,"Reg","Lvl","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",6,8,"Hip","CompShg","HdBoard","HdBoard","BrkFace",0,"TA","CBlock","TA","No","GLQ",665.9342236,"Unf",1.730450464,402.92092,"GasA","TA",1,"SBrkr",1074.157863,3,"TA",6,"Typ","Gd","Attchd","RFn",261.6467215,"TA","Y","Fa","MnPrv","Shed",2.360590737,"WD","Normal",1,6.980222779,9.042254858,6444.947178,6,43,236902,3,43,"-2",2585.724146749,193.629549249,1,0.5,0,0,1,0,15514.344880494,20685.793173992,9784.87051229971
29,"120","RH",34.18266635,4003.662976,1,0,"Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","TwnhsE","SFoyer",7,5,"Gable","CompShg","MetalSd","MetalSd","BrkFace",180.8281601,"TA","PConc","Gd","Av","GLQ",590.7108443,"LwQ",136.7683185,0,"GasA","Ex",1,"SBrkr",764.5147902,1,"TA",4,"Typ","Gd","Attchd","Fin",367.0402789,"TA","Y","Fa","MnPrv","Shed",7.677138298,"WD","Normal",1,6.640548536,8.295214705,5351.6035314,7,9,184371,9,9,"-2",2023.060224164,163.031922164,1,1,0,0,1,0,14161.421569148,10115.30112082,4658.26831438922
30,"29","RL",66.91157785,4960.640323,1,0,"Reg","Bnk","Inside","Gtl","SWISU","Artery","Norm","1Fam","1Story",5,6,"Gable","CompShg","MetalSd","VinylSd","BrkFace",202.4719231,"TA","BrkTil","TA","Mn","Rec",127.0006704,"Unf",0,970.1590948,"GasA","Fa",0,"FuseA",1293.057349,2,"Fa",5,"Typ","Gd","Detchd","Unf",259.2009408,"TA","Y","Fa","MnPrv","Shed",0,"WD","Normal",1,7.165537793,8.509491675,6465.286745,5,86,531724,11,31,"0",2693.882344762,36.367579962,2,0,1,1,1,0,13469.41172381,16163.294068572,12030.6310341729
31,"160","FV",68.84965221,2854.143695,1,0,"Reg","Lvl","Corner","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",6,5,"Gable","CompShg","MetalSd","MetalSd","BrkFace",1157.154377,"Gd","PConc","Gd","No","GLQ",467.0225136,"Unf",0,290.6056657,"GasA","Ex",1,"SBrkr",1524.33257,2,"Gd",5,"Typ","Gd","Detchd","Unf",438.7110601,"TA","Y","Fa","MnPrv","Shed",2.06656537,"WD","Normal",1,7.329967744,7.956877452,9145.99542,12,10,388438,10,10,"0",2758.498097264,32.910522764,2.5,1,0,0,2,0,16550.988583584,13792.49048632,6614.58954745265
32,"61","RL",92.0091924,11850.37686,1,0,"IR1","Lvl","CulDSac","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,7,"Gable","CompShg","VinylSd","VinylSd","BrkFace",347.8826923,"Gd","PConc","Gd","No","GLQ",530.5831396,"Unf",0,627.7257055,"GasA","Ex",1,"SBrkr",2272.663146,4,"Gd",9,"Typ","Gd","Attchd","Fin",671.553,"TA","Y","Fa","MnPrv","Shed",4.453630884,"WD","Normal",0,7.729147531,9.380199331,18181.305168,24,11,1717484,3,11,"2",4285.237623713,186.109196713,2.5,0,1,1,3,0,34281.900989704,29996.663365991,10648.4154670862
33,"20","FV",84.86080002,10711.16209,1,0,"Reg","Lvl","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",294.2413525,"Gd","PConc","Gd","Av","Unf",0,"Unf",0,1655.574824,"GasA","Ex",1,"SBrkr",1663.412124,3,"Gd",7,"Typ","Gd","Attchd","Fin",655.7510823,"TA","Y","Fa","MnPrv","Shed",0,"WD","Normal",1,7.417227261,9.279135019,13307.296992,24,0,1103051,1,1,"-2",4233.212124416,253.605253116,2,0,1,1,3,0,33865.696995328,21166.06062208,0
34,"19","RL",77.7251662,10259.98744,1,0,"IR1","Lvl","Corner","Gtl","NAmes","Feedr","Norm","1Fam","1Story",5,6,"Gable","CompShg","HdBoard","Plywood","BrkFace",0.102065586,"TA","CBlock","TA","No","Rec",743.7431597,"Unf",0,168.6955443,"GasA","TA",1,"SBrkr",1037.140674,3,"TA",5,"Typ","Fa","Attchd","Fin",373.7858224,"TA","Y","Fa","GdWo","Shed",445.5108098,"WD","Normal",1,6.945186579,9.236104356,5185.70337,10,40,476474,40,0,"0",2580.436908091,249.835203291,1.5,0.5,1,1,2,0,12902.184540455,15482.621448546,9582.63842177957
35,"20","RL",80.14419629,8079.465647,1,0,"Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,"Hip","CompShg","BrkFace","BrkFace","BrkFace",0,"TA","CBlock","TA","No","BLQ",1096.352005,"Rec",157.3640829,121.3951363,"GasA","TA",1,"SBrkr",1373.623761,3,"TA",6,"Typ","TA","Attchd","Unf",350.1222791,"TA","Y","Fa","MnPrv","Shed",0,"WD","Normal",1,7.225935344,8.997204779,6868.118805,5,47,656612,47,42,"0",3106.988744338,2.441754238,1,1,1,2,1,0,15534.94372169,15534.94372169,12027.7779679607
36,"20","RL",69.90425086,8474.59472,1,0,"Reg","Lvl","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,5,"Gable","CompShg","Plywood","Plywood","BrkFace",0.712236848,"TA","CBlock","TA","No","ALQ",798.8954724,"Rec",78.13838481,0,"GasA","TA",1,"SBrkr",881.2789873,2,"TA",4,"Typ","Gd","Attchd","Fin",521.8127851,"TA","Y","Fa","MnPrv","Shed",2.697271622,"WD","Normal",1,6.782508318,9.044946103,3525.1159492,8,40,449289,40,40,"0",2528.224152324,240.450530524,1,1,0,0,2,0,10112.896609296,12641.12076162,9388.74259043758
37,"20","RL",109.1959537,8781.691182,1,0,"Reg","Lvl","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",0,"TA","CBlock","Gd","No","BLQ",487.3298062,"Unf",1.904271961,405.0578669,"GasA","Gd",1,"SBrkr",896.1301298,3,"TA",5,"Typ","Po","Attchd","Fin",450.5306994,"TA","Y","Fa","MnPrv","Shed",0,"WD","Normal",1,6.799200924,9.080538152,4480.650649,10,39,407394,39,39,"0",2242.064608645,0.483571245,1,0,1,1,2,0,11210.323043225,11210.323043225,8270.70606962654
38,"20","RL",64.95649377,7831.372884,1,0,"Reg","Lvl","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,7,"Hip","CompShg","HdBoard","HdBoard","BrkFace",92.23061255,"TA","PConc","TA","No","ALQ",447.1678913,"Unf",0,412.0001046,"GasA","Ex",1,"SBrkr",901.3130716,3,"Gd",5,"Typ","Gd","Attchd","Fin",290.8861688,"TA","Y","Fa","MnPrv","Shed",9.173476487,"WD","Normal",1,6.804961546,8.966020793,4506.565358,5,42,511478,5,42,"0",2123.519482192,62.786809292,1,0,0,0,1,0,10617.59741096,14864.636375344,7986.98172209808
39,"59","RL",71.89883011,10487.244,1,0,"IR1","HLS","CulDSac","Gtl","Gilbert","Norm","Norm","1Fam","2Story",8,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",0,"Gd","PConc","Gd","No","Unf",9.149297403,"Unf",0.724263528,896.9673676,"GasA","Ex",1,"SBrkr",1802.147213,3,"Gd",8,"Typ","Gd","Attchd","Fin",803.3085167,"TA","Y","Fa","MnPrv","Shed",1.908196822,"WD","Normal",0,7.497288869,9.25801029,14417.177704,24,1,938668,1,1,"0",3620.243847311,116.496724311,2.5,0,1,1,3,0,28961.950778488,18101.219236555,2509.36181570311
40,"90","RL",60.34473605,8458.054755,1,0,"Reg","Lvl","Corner","Gtl","NAmes","Norm","Norm","Duplex","1Story",3,4,"Gable","CompShg","BrkFace","Stone","BrkFace",0,"TA","Slab","TA","No","GLQ",3.689599182,"Unf",2.394420644,0,"Wall","Fa",0,"FuseF",1042.171952,2,"TA",6,"Typ","Gd","Detchd","Unf",395.6446603,"TA","Y","Fa","MnPrv","Shed",0,"WD","Normal",1,6.950021304,9.042992715,3126.515856,6,56,20055,56,56,"0",1438.105662468,0.289050168,2,0,0,0,2,1,4314.316987404,5752.422649872,5814.33492192129
41,"50","RL",60.38704456,8646.555434,1,0,"Reg","Lvl","Inside","Gtl","BrkSide","RRAn","Norm","1Fam","1.5Fin",5,5,"Gable","CompShg","HdBoard","HdBoard","BrkFace",1.435032325,"TA","PConc","Fa","No","Unf",4.925631412,"Unf",0,751.6448903,"GasA","TA",1,"SBrkr",1320.246111,4,"TA",7,"Typ","Gd","Detchd","Unf",578.3743129,"TA","Y","Fa","MnPrv","Shed",0.22454646,"ConLw","Family",1,7.186330594,9.065031951,6601.230555,10,81,244917,57,42,"-2",2647.427501473,1.135152873,1,0,0,0,2,0,13237.137507365,13237.137507365,11666.4697264778
